Filename,Benchmark_Satisfiability,Post_Transform_Satisfiability,Pre_Transform_Solving_Time,Post_Transform_Solving_Time,Post_Transform_Solving_Time_second
smt2560597021051402000.smt2,unsat,unsat,0.011127233505249,0.0050523281097412,0.0186002254486084
smt4517125900103311297.smt2,unsat,unsat,0.0066869258880615,0.0065429210662841,0.0156888961791992
smt7938188253170750235.smt2,unsat,unsat,0.0075139999389648,0.0096261501312255,0.0165729522705078
smt313802991953581808.smt2,unsat,unsat,0.0050399303436279,0.0105772018432617,0.0177552700042724
smt2164078868885435990.smt2,unsat,unsat,0.006364107131958,0.0065948963165283,0.0173499584197998
smt2689043046447407041.smt2,unsat,unsat,0.0048420429229736,0.0057642459869384,0.0156490802764892
smt5846181154948297725.smt2,unsat,unsat,0.0048058032989501,0.0056450366973876,0.0174047946929931
smt5973516924442529596.smt2,sat,sat,0.0078377723693847,0.007211685180664,0.0073671340942382
smt2877346194852999498.smt2,sat,sat,0.0058472156524658,0.0061907768249511,0.0167791843414306
smt8526845778098272267.smt2,sat,sat,0.0064361095428466,0.01322603225708,0.007124900817871
