Filename,Benchmark_Satisfiability,Post_Transform_Satisfiability,Pre_Transform_Solving_Time,Post_Transform_Solving_Time,Post_Transform_Solving_Time_second
smt8077224534801305670.smt2,unsat,unsat,0.0086469650268554,0.0284779071807861,0.0221672058105468
storecomm_t3_pp_nf_ni_00010_007.cvc.smt2,unsat,unsat,0.0168459415435791,0.0309450626373291,0.0211801528930664
read8.smt2,unsat,unsat,0.0090589523315429,0.0262248516082763,0.0232901573181152
smt4574461499410346282.smt2,unsat,unsat,0.0143129825592041,0.0250947475433349,0.019291877746582
smt3411894737991763499.smt2,unsat,unsat,0.0128259658813476,0.0222508907318115,0.0150718688964843
smt1946805393457691034.smt2,unsat,unsat,0.0183551311492919,0.0223569869995117,0.0169270038604736
smt6231400525874152157.smt2,unsat,unsat,0.0187549591064453,0.0248870849609375,0.016737937927246
smt6879946163714078134.smt2,unsat,unsat,0.0114619731903076,0.019752025604248,0.0064103603363037
smt8078846980698793773.smt2,unsat,unsat,0.0223569869995117,0.0150160789489746,0.0159089565277099
smt1529145317830911829.smt2,unsat,unsat,0.0077440738677978,0.0211670398712158,0.016719102859497
smt8513434858697749825.smt2,unsat,unsat,0.0185022354125976,0.0161669254302978,0.0229380130767822
smt4238401262965072047.smt2,unsat,unsat,0.0155649185180664,0.0237622261047363,0.0093781948089599
smt7359050099439661129.smt2,unsat,unsat,0.016024112701416,0.0158147811889648,0.013995885848999
smt5491752019313122314.smt2,unsat,unsat,0.0205869674682617,0.0314137935638427,0.0147724151611328
smt5410124224885464815.smt2,unsat,unsat,0.0170459747314453,0.0251579284667968,0.0160908699035644
storecomm_t3_np_nf_ni_00030_004.cvc.smt2,unsat,unsat,0.0324196815490722,0.0239040851593017,0.0217390060424804
smt8833779138211845249.smt2,unsat,unsat,0.0225052833557128,0.0050418376922607,0.0153710842132568
smt5901762799217475108.smt2,unsat,unsat,0.0167622566223144,0.0070409774780273,0.0154259204864501
storecomm_t1_np_nf_ni_00050_009.cvc.smt2,unsat,unsat,0.0562002658843994,0.0343048572540283,0.0371289253234863
smt7405460456682932921.smt2,unsat,unsat,0.0059940814971923,0.015622854232788,0.0152270793914794
swap_t1_pp_nf_ai_00003_003.cvc.smt2,unsat,unsat,0.0074739456176757,0.0160200595855712,0.0156090259552001
smt7916933981353194815.smt2,unsat,unsat,0.0156559944152832,0.0160579681396484,0.0160760879516601
smt599099718845180000.smt2,unsat,unsat,0.0154459476470947,0.015308141708374,0.0164790153503417
smt8289280324694207722.smt2,unsat,unsat,0.0161690711975097,0.0153200626373291,0.0231409072875976
storecomm_t3_pp_nf_ni_00030_003.cvc.smt2,unsat,unsat,0.0290470123291015,0.0444529056549072,0.0263271331787109
smt616279233519394183.smt2,unsat,unsat,0.0208678245544433,0.0157146453857421,0.0151951313018798
smt3698555390396458023.smt2,unsat,unsat,0.0269560813903808,0.0154430866241455,0.0153069496154785
smt4552940212595976610.smt2,unsat,unsat,0.0157959461212158,0.0174038410186767,0.0159018039703369
fb_var_12_11.smt2,unsat,unsat,0.0385770797729492,0.0343878269195556,0.0178170204162597
storecomm_t1_pp_nf_ni_00010_005.cvc.smt2,unsat,unsat,0.0296950340270996,0.0187640190124511,0.016028881072998
smt3796329264322518882.smt2,unsat,unsat,0.0273032188415527,0.0165293216705322,0.0161950588226318
smt5283357161187483598.smt2,unsat,unsat,0.0155987739562988,0.0163111686706542,0.0152177810668945
smt2282925904598514077.smt2,unsat,unsat,0.0158071517944335,0.0160319805145263,0.0153191089630126
smt7006792903852855302.smt2,unsat,unsat,0.0152907371520996,0.015841007232666,0.0167012214660644
storeinv_t1_pp_sf_ai_00001_001.cvc.smt2,unsat,unsat,0.0180747509002685,0.0259747505187988,0.0154807567596435
smt101358492275879472.smt2,unsat,unsat,0.0156598091125488,0.0264110565185546,0.0149641036987304
smt2106860836086514151.smt2,unsat,unsat,0.0170779228210449,0.0230309963226318,0.0179719924926757
storecomm_t1_pp_nf_ni_00050_005.cvc.smt2,unsat,unsat,0.0343701839447021,0.0527350902557373,0.0322122573852539
smt6946123632041025678.smt2,unsat,unsat,0.0068137645721435,0.0158421993255615,0.0153970718383789
swap_t3_pp_sf_ai_00005_009.cvc.smt2,unsat,unsat,0.0166678428649902,0.0199689865112304,0.0170841217041015
swap_t3_pp_nf_ai_00007_005.cvc.smt2,unsat,unsat,0.0140700340270996,0.0178430080413818,0.0189979076385498
smt3487051362416095263.smt2,unsat,unsat,0.0176649093627929,0.0114040374755859,0.0160052776336669
smt2782844312644070087.smt2,unsat,unsat,0.0168519020080566,0.0194258689880371,0.0154619216918945
smt2905633022829326820.smt2,unsat,unsat,0.0441672801971435,0.0220189094543457,0.0158870220184326
storecomm_t1_pp_nf_ni_00030_001.cvc.smt2,unsat,unsat,0.0335640907287597,0.0285251140594482,0.0250039100646972
smt2384827473142460326.smt2,unsat,unsat,0.0146169662475585,0.0153777599334716,0.0160160064697265
swap_t1_pp_sf_ai_00002_001.cvc.smt2,unsat,unsat,0.0161640644073486,0.0158510208129882,0.0147950649261474
smt1355996306873782731.smt2,unsat,unsat,0.0149760246276855,0.0288119316101074,0.0159101486206054
smt2016035095367711249.smt2,unsat,unsat,0.0166938304901123,0.0174040794372558,0.0148940086364746
storeinv_t3_pp_nf_ai_00007_001.cvc.smt2,unsat,unsat,0.0261421203613281,0.0256240367889404,0.0258419513702392
smt275238204253440021.smt2,unsat,unsat,0.027026891708374,0.0270347595214843,0.0153219699859619
smt65467803538243106.smt2,unsat,unsat,0.0130708217620849,0.0154371261596679,0.0159180164337158
swap_t1_pp_nf_ai_00002_003.cvc.smt2,unsat,unsat,0.0172929763793945,0.0266752243041992,0.0153701305389404
smt5066516013081219368.smt2,unsat,unsat,0.0276219844818115,0.0316228866577148,0.0322542190551757
storecomm_t1_pp_nf_ni_00020_005.cvc.smt2,unsat,unsat,0.0228500366210937,0.0107221603393554,0.017467975616455
smt6334367605951226396.smt2,unsat,unsat,0.0217781066894531,0.0195472240447998,0.0156540870666503
smt6433635961432197699.smt2,unsat,unsat,0.01869797706604,0.0172998905181884,0.0153641700744628
smt3899959149727363456.smt2,unsat,unsat,0.0147058963775634,0.0177130699157714,0.0149281024932861
storecomm_t2_np_nf_ni_00030_008.cvc.smt2,unsat,unsat,0.0305752754211425,0.0364179611206054,0.0299849510192871
storecomm_t1_pp_nf_ni_00040_001.cvc.smt2,unsat,unsat,0.0338201522827148,0.039090871810913,0.0275981426239013
smt373337730591991193.smt2,unsat,unsat,0.0303521156311035,0.0452218055725097,0.0153498649597167
swap_t3_pp_sf_ai_00004_002.cvc.smt2,unsat,unsat,0.0156359672546386,0.0171167850494384,0.0173611640930175
smt3502153459994386289.smt2,unsat,unsat,0.0196151733398437,0.0086021423339843,0.0160887241363525
smt3372199210070462891.smt2,unsat,unsat,0.0102241039276123,0.0094039440155029,0.0176591873168945
smt9065296178149417744.smt2,unsat,unsat,0.0136020183563232,0.0126850605010986,0.0154600143432617
storeinv_t3_pp_sf_ai_00009_001.cvc.smt2,unsat,unsat,0.0755329132080078,0.0587289333343505,0.0804650783538818
smt2187227346843288353.smt2,unsat,unsat,0.0062179565429687,0.0221130847930908,0.0211141109466552
smt3905221720212478447.smt2,unsat,unsat,0.0204889774322509,0.021097183227539,0.0155189037322998
smt498171090311845791.smt2,unsat,unsat,0.0153300762176513,0.0082488059997558,0.0295166969299316
storecomm_t1_pp_nf_ni_00060_005.cvc.smt2,unsat,unsat,0.0600781440734863,0.0599119663238525,0.0519108772277832
