Filename,Benchmark_Satisfiability,Post_Transform_Satisfiability,Pre_Transform_Solving_Time,Post_Transform_Solving_Time,Post_Transform_Solving_Time_second
storecomm_t3_pp_nf_ni_00010_007.cvc.smt2,unsat,unsat,0.0586721897125244,0.0818769931793212,0.0315840244293212
smt1946805393457691034.smt2,unsat,unsat,0.0347237586975097,0.0962469577789306,0.0325000286102294
smt8077224534801305670.smt2,unsat,unsat,0.0707619190216064,0.0874450206756591,0.0212137699127197
read8.smt2,unsat,unsat,0.0655319690704345,0.111293077468872,0.0958011150360107
smt6231400525874152157.smt2,unsat,unsat,0.0261001586914062,0.1354331970214843,0.0241310596466064
smt8078846980698793773.smt2,unsat,unsat,0.0145161151885986,0.2024869918823242,0.0295021533966064
smt6879946163714078134.smt2,unsat,unsat,0.0199120044708251,0.2037398815155029,0.0235099792480468
smt1529145317830911829.smt2,unsat,unsat,0.0174241065979003,0.2095170021057129,0.0475189685821533
smt5491752019313122314.smt2,unsat,unsat,0.0158290863037109,0.1858410835266113,0.05961275100708
smt8513434858697749825.smt2,unsat,unsat,0.0192039012908935,0.1554758548736572,0.0248231887817382
smt4238401262965072047.smt2,unsat,unsat,0.0214509963989257,0.288262128829956,0.0282239913940429
smt7359050099439661129.smt2,unsat,unsat,0.0201218128204345,0.3552191257476806,0.0295629501342773
smt5410124224885464815.smt2,unsat,unsat,0.0279669761657714,0.1229152679443359,0.0834808349609375
storeinv_t1_pp_nf_ai_00009_001.cvc.smt2,unsat,unsat,0.07560396194458,0.2637910842895508,0.0788331031799316
smt7405460456682932921.smt2,unsat,unsat,0.1063501834869384,0.0537581443786621,0.0833570957183837
smt8833779138211845249.smt2,unsat,unsat,0.1148819923400878,0.0578179359436035,0.0625319480895996
swap_t1_pp_nf_ai_00004_003.cvc.smt2,unsat,unsat,0.0289499759674072,0.0687980651855468,0.0617389678955078
smt5901762799217475108.smt2,unsat,unsat,0.0353410243988037,0.2503821849822998,0.0614180564880371
swap_t1_pp_nf_ai_00004_002.cvc.smt2,unsat,unsat,0.0363812446594238,0.2543647289276123,0.0571823120117187
storecomm_t1_pp_nf_ai_00010_009.cvc.smt2,unsat,unsat,0.0792121887207031,0.2513983249664306,0.0566022396087646
storeinv_t3_pp_sf_ai_00008_001.cvc.smt2,unsat,unsat,0.0500121116638183,0.3089289665222168,0.1409370899200439
storecomm_t2_np_nf_ni_00040_002.cvc.smt2,unsat,unsat,0.0596430301666259,0.2955069541931152,0.0603289604187011
smt5732050528631778495.smt2,unsat,unsat,0.0239250659942626,0.096790075302124,0.0427780151367187
smt599099718845180000.smt2,unsat,unsat,0.0275201797485351,0.171544075012207,0.1094629764556884
smt3698555390396458023.smt2,unsat,unsat,0.0560970306396484,0.0455858707427978,0.0883388519287109
smt616279233519394183.smt2,unsat,unsat,0.0361838340759277,0.2720239162445068,0.1101119518280029
smt8289280324694207722.smt2,unsat,unsat,0.0350861549377441,0.2728350162506103,0.0949468612670898
fb_var_12_11.smt2,unsat,unsat,0.090872049331665,0.1839399337768554,0.10569429397583
storecomm_t1_pp_nf_ni_00010_004.cvc.smt2,unsat,unsat,0.1039628982543945,0.2897849082946777,0.1346848011016845
smt4552940212595976610.smt2,unsat,unsat,0.0255277156829834,0.2926619052886963,0.1107599735260009
smt7006792903852855302.smt2,unsat,unsat,0.0390009880065918,0.3749299049377441,0.1124942302703857
smt2282925904598514077.smt2,unsat,unsat,0.0456531047821044,0.1981449127197265,0.0511691570281982
smt5283357161187483598.smt2,unsat,unsat,0.0470638275146484,0.3821399211883545,0.2388069629669189
storeinv_t1_pp_sf_ai_00006_001.cvc.smt2,unsat,unsat,0.0578129291534423,0.306732177734375,0.0869019031524658
smt6946123632041025678.smt2,unsat,unsat,0.0844788551330566,0.538809061050415,0.1178739070892334
swap_t1_pp_nf_ai_00003_008.cvc.smt2,unsat,unsat,0.0405519008636474,0.3302230834960937,0.0816619396209716
smt2782844312644070087.smt2,unsat,unsat,0.1165308952331543,0.5693361759185791,0.0740439891815185
storecomm_t1_pp_nf_ai_00010_002.cvc.smt2,unsat,unsat,0.1043190956115722,0.6707251071929932,0.1735820770263672
smt3487051362416095263.smt2,unsat,unsat,0.0636732578277587,0.384822130203247,0.0619499683380126
storecomm_t1_pp_nf_ni_00030_001.cvc.smt2,unsat,unsat,0.116811990737915,0.5600159168243408,0.0770289897918701
smt2905633022829326820.smt2,unsat,unsat,0.0544879436492919,0.234175443649292,0.09122896194458
swap_t1_pp_sf_ai_00002_001.cvc.smt2,unsat,unsat,0.1472330093383789,0.2360451221466064,0.0817921161651611
smt2384827473142460326.smt2,unsat,unsat,0.0378470420837402,0.2531440258026123,0.0550289154052734
storeinv_t3_pp_nf_ai_00007_001.cvc.smt2,unsat,unsat,0.0442180633544921,0.2454278469085693,0.0623111724853515
smt1355996306873782731.smt2,unsat,unsat,0.0234668254852294,0.2535459995269775,0.0382580757141113
smt275238204253440021.smt2,unsat,unsat,0.0257918834686279,0.111994981765747,0.0378448963165283
