Filename,Benchmark_Satisfiability,Post_Transform_Satisfiability,Pre_Transform_Solving_Time,Post_Transform_Solving_Time,Post_Transform_Solving_Time_second
ARI005-1.smt2,unsat,unsat,0.0397500991821289,0.0159459114074707,0.0201411247253417
ARI017-1.smt2,unsat,unsat,0.0236709117889404,0.0151810646057128,0.0204439163208007
179.smt2,unsat,unsat,0.0269351005554199,0.0258071422576904,0.0245821475982666
nested9_true-unreach-call.i_1722.smt2,unsat,unsat,0.0216677188873291,0.0207350254058837,0.0302598476409912
ARI592-1.smt2,unsat,unsat,0.024407148361206,0.0253400802612304,0.0260601043701171
nested9_true-unreach-call.i_1427.smt2,unsat,unsat,0.0190498828887939,0.0189251899719238,0.0138077735900878
jain_7_true-unreach-call_true-no-overflow_false-termination.i_9.smt2,unsat,unsat,0.0264410972595214,0.024886131286621,0.0201752185821533
155.smt2,unsat,unsat,0.0324158668518066,0.0310442447662353,0.0404527187347412
nested9_true-unreach-call.i_707.smt2,unsat,unsat,0.0107009410858154,0.0169720649719238,0.0166206359863281
NUM864-1.smt2,unsat,unsat,0.0147972106933593,0.0160708427429199,0.0073747634887695
nested9_true-unreach-call.i_746.smt2,unsat,unsat,0.0206532478332519,0.0183448791503906,0.0176610946655273
nested9_true-unreach-call.i_766.smt2,unsat,unsat,0.0305359363555908,0.0185358524322509,0.0144228935241699
recHanoi03_true-unreach-call_true-termination.c_73.smt2,unsat,unsat,0.0123291015625,0.0158209800720214,0.018904685974121
163.smt2,unsat,unsat,0.0195481777191162,0.0270330905914306,0.0267660617828369
nested9_true-unreach-call.i_357.smt2,unsat,unsat,0.0124859809875488,0.0221920013427734,0.0195562839508056
NUM915-1.smt2,unsat,unsat,0.0218069553375244,0.0155329704284667,0.0273239612579345
nested6_true-unreach-call.i_7.smt2,unsat,unsat,0.0311532020568847,0.0170083045959472,0.0139038562774658
nested9_true-unreach-call.i_1597.smt2,unsat,unsat,0.0167469978332519,0.0222489833831787,0.0179672241210937
jain_2_true-unreach-call_true-no-overflow_false-termination.i_6.smt2,unsat,unsat,0.0210130214691162,0.0117161273956298,0.0166900157928466
