Filename,Benchmark_Satisfiability,Post_Transform_Satisfiability,Pre_Transform_Solving_Time,Post_Transform_Solving_Time,Post_Transform_Solving_Time_second
water_tank-node31031.smt2,unsat,unsat,0.0142040252685546,0.0156502723693847,0.0277998447418212
formula_058.smt2,unsat,unsat,0.0203239917755126,0.0192372798919677,0.0355699062347412
formula_058.smt2,unsat,unsat,0.0203239917755126,0.0192372798919677,0.0228979587554931
water_tank-node25619.smt2,unsat,unsat,0.0244951248168945,0.0062217712402343,0.0266189575195312
water_tank-node18188.smt2,unsat,unsat,0.0157001018524169,0.0218241214752197,0.0344901084899902
intersection-example-simple.proof-node684031.smt2,unsat,unsat,0.0148689746856689,0.0150799751281738,0.0391359329223632
RNDPRE_3_47.smt2,unsat,unsat,0.0309450626373291,0.0260930061340332,0.0260391235351562
water_tank-node5019.smt2,unsat,unsat,0.024493932723999,0.0218579769134521,0.0196192264556884
RND_3_15.smt2,unsat,unsat,0.0174481868743896,0.0189511775970459,0.018312931060791
intersection-example-simple.proof-node81770.smt2,unsat,unsat,0.019413948059082,0.0140368938446044,0.0161240100860595
intersection-example-simple.proof-node431299.smt2,unsat,unsat,0.0185778141021728,0.0158069133758544,0.0152277946472167
water_tank-node13855.smt2,unsat,unsat,0.0216279029846191,0.0172309875488281,0.0169849395751953
intersection-example-simple.proof-node464056.smt2,unsat,unsat,0.0188150405883789,0.0155439376831054,0.0159080028533935
RNDPRE_4_2.smt2,unsat,unsat,0.0634570121765136,0.1173889636993408,0.2199828624725341
formula_263.smt2,unsat,unsat,0.1819398403167724,0.3804230690002441,1.019709825515747
intersection-example-simple.proof-node679744.smt2,unsat,unsat,0.0157666206359863,0.0150840282440185,0.0157618522644042
ARI384-1.smt2,unsat,unsat,0.0164821147918701,0.0152170658111572,0.0200917720794677
formula_127.smt2,unsat,unsat,0.0282518863677978,0.1630547046661377,0.0375659465789794
formula_170.smt2,unsat,unsat,0.0167481899261474,0.0178658962249755,0.0086920261383056
formula_170.smt2,unsat,unsat,0.0167481899261474,0.0178658962249755,0.0189912319183349
intersection-example-simple.proof-node46397.smt2,unsat,unsat,0.0056037902832031,0.0151998996734619,0.0153601169586181
water_tank-node23061.smt2,unsat,unsat,0.0160439014434814,0.0198609828948974,0.0168478488922119
formula_035.smt2,unsat,unsat,0.0692462921142578,0.0457439422607421,0.0464529991149902
formula_035.smt2,unsat,unsat,0.0692462921142578,0.0457439422607421,0.0395119190216064
formula_023.smt2,unsat,unsat,0.0202569961547851,0.160362958908081,0.0377771854400634
intersection-example-simple.proof-node70925.smt2,unsat,unsat,0.0187311172485351,0.0183570384979248,0.0161709785461425
formula_189.smt2,unsat,unsat,0.0510921478271484,0.1427600383758545,0.0603761672973632
ARI396-1.smt2,unsat,unsat,0.0170753002166748,0.0128920078277587,0.0159869194030761
formula_131.smt2,unsat,unsat,0.0810329914093017,0.0315029621124267,0.0330448150634765
intersection-example-simple.proof-node432437.smt2,unsat,unsat,0.0177960395812988,0.01487398147583,0.0216157436370849
ARI388-1.smt2,unsat,unsat,0.0159621238708496,0.016331672668457,0.0164620876312255
formula_218.smt2,unsat,unsat,0.0180420875549316,0.0176632404327392,0.0204558372497558
formula_218.smt2,unsat,unsat,0.0180420875549316,0.0176632404327392,0.0170319080352783
RNDPRE_4_38.smt2,unsat,unsat,0.016719102859497,0.0317029953002929,0.0793538093566894
intersection-example-simple.proof-node465124.smt2,unsat,unsat,0.0150768756866455,0.0136051177978515,0.0153238773345947
formula_280.smt2,unsat,unsat,0.037428855895996,0.0296871662139892,0.0538771152496337
RNDPRE_4_18.smt2,unsat,unsat,0.0241718292236328,0.0192968845367431,0.0198099613189697
water_tank-node30102.smt2,unsat,unsat,0.0158929824829101,0.0182840824127197,0.0157637596130371
intersection-example-simple.proof-node404749.smt2,unsat,unsat,0.0149927139282226,0.0261199474334716,0.0153930187225341
formula_003.smt2,unsat,unsat,0.0311939716339111,0.0856521129608154,0.1437509059906005
formula_003.smt2,unsat,unsat,0.0311939716339111,0.0856521129608154,0.0484590530395507
intersection-example-simple.proof-node431411.smt2,unsat,unsat,0.0152850151062011,0.014862060546875,0.0149590969085693
formula_054.smt2,unsat,unsat,0.0360820293426513,0.0716841220855712,0.1638541221618652
